No,Review
55,"Since the fist day I started with this company I been experienced the worse customer service. All visit to doctors, laboratories and pharmacy have been issues and issues to be covered! I am an HIV patient and they push me and push me to change my medication after been on it for the last 8 years (with no issues with Florida Blue Cross), they do not care about health, they just want your money. They claim pharmacy rush appeals will be handled in 72 hrs, and is a TOTAL lie, they start to handle them AFTER the 72 hrs, meaning a prescription that is urgent can take more than a week. At the end my doctor find for me 6 months of medications supplies because he got exhausted of calling (with me on the phone) with no luck to receive at least an answer. Be aware of finding another insurance when you have to renew or find a new company, THINK TWICE before choosing United Health Care."
56,I have deep vein thrombosis in both legs and now compression stockings no-longer work and after suffering an injury to my ankle and unable to walk found a vein specialist to assist. I've yet to gain approval for remaining treatment and suffering with extreme pain and I can't wear shoes. Rely on cane and getting tired of the excuses. At this point in time I've begun the process of searching for a new provider and would not recommend UHC to anyone. I need to work but due to current situation can't and I feel UHC is not listening to me.
57,"I don’t usually leave online reviews but I feel it is my duty to warn others how vile and evil this organization is. While they routinely deny cataract surgeries or even an OBGYN checkup, their CEO and mid-tier MBAs make bank at the expense of their consumer’s health. Don’t even bother calling customer service or complaining to your state. The hand-in-glove corruption knows no bounds. How on Earth this corporation is legal confounds me. Evil personified. Horrific."
58,"After over 4 hours of calling United Health Care to enroll in a plan, getting transferred 7 times throughout my various calls, being placed on hold for periods of up to 40 minutes, and talking to agents that communicated as if they were on drugs, not one of them had the capability to handle a simple call, to provide basic information, nor to enroll me.After this nightmare, I called the corporate office and asked to talk to management. I briefed the receptionist on what had been taking place, and said that I had to bring my experience to their attention. Just as all of the other employees I had the misfortune to talk to, this corporate office receptionist said that she was going to transfer my call to a ""Sales Agent"". She immediately transferred and left the call without allowing me to say anything, even though I had been very clear when she answered that I needed to talk to someone in management, because of all that I had been going through for almost 5 hours of trying to get help and not getting it. Turns out she transferred me to an automated message that said: ""Please enter your writing ID"". What in the world is wrong with the employees at United Healthcare????I dialed the corporate office number again, and another receptionist answered. This one asked for my name and said nothing else. I was waiting to hear that she was going to transfer me to a supervisor or manager, but after a few seconds of silence, the call was disconnected. Absolutely shocking!!!! And what's even worse is that there's no way for me to let the leaders know about what their employees are doing (and not doing) on their jobs. Very truly, every single one of them, and I must have talked to approximately 10 employees in a 4 to 5 hours period, displayed complete and total incompetence, disregard, carelessness, ignorance and disrespect."
59,"I needed to dispute a rejection of a charge from an out of network provider. They had me physically mail copious amounts of paperwork and then did nothing with it when they got it. I would call the special number to ask about it's progress and they would either say they couldn't find anything about it or they would lie and say it was still in process. It wasn't until 5 months later that I found out that they had me mail the paperwork to the wrong entity. Unbelievable. 5 months of lost therapy. I won't get those 5 months back. And they would just flat out lie to me to get me off the phone. I didn't pester them, I would simply call for status. They don't know their You Know What's from a hole in the ground."
60,"Never again! UnitedHealthcare will not approve necessary surgery procedure. My doctor had to present, argue, and fight for me. CEO is the highest paid CEOs. Doctor privately told me that UnitedHealth is the most difficult insurance to work with. I am leaving this plan as soon as enrollment period opens in November."
61,"I spoke with UHC on Mar 30 2022. Jaclyn gave me incorrect information. That caused me not to have a PCP for the month of April. Even though they know that their agent made a mistake they are not willing to correct the error. Bye UHC, Hello Humana. Do not use UHC."
62,"$450 a month and NOTHING was covered. No doctor visits, no annual lady visits, no meds....NOTHING. What in the heck did I pay $450 a month for!?!? This should be illegal and shut down. Nothing in the literature prior to picking a plan stated nothing would be covered under their more expensive plan. Do not get this insurance, it's a scam!"
63,Worst coverage!! They denied 3 of the 5 claims from my preventive wellness visit. This was after I called to make sure doc was in network and that the visit would be covered. I have had to call every week for the last 4 months due to issues of them denying coverage and then claiming something else. They also refused to give us our summary benefit coverage even after our employer called them and said they needed to provide it! It costs more money after a deductible has been met rather than less!! RIDICULOUS!!!!
64,"Adding rudeness to incompetence makes for a new low in UHC customer care. I, and other relatives, will likely not renew with UHC next year as a consequence. Briefly, I was told by my provider of a $345 estimated copay for a test procedure. I called UHC customer service to understand how that number was arrived at (and whether I should change anything such as facility...)The first “advocate” I got was totally unhelpful, left me on hold for 8 minutes with no communication and when returning with no useful information abruptly put me on “music on hold” as I was mid-sentence. That level of rudeness is simply unacceptable. I called again and requested to speak with a supervisor. The much more polite person contacted a supervisor and asked me to wait while in parallel trying to sort out my very simple request. 30 minutes later, she was still unable to provide useful information and no supervisor was still available. I asked for a supervisor call back. 24hrs later I am still waiting.Good customer service is more than relabelling agents as “advocates”.  It is                                                                                                Not leaving customers on hold for several minutes with no feedback.                                                                                                Not hanging up on a customer by rudely putting them on hold.                                                                                                Having agents (advocates they are not) be able to answer simple questions regarding the breakdown of a copay.                                                                                                Having supervisors available when a customer requests speaking with them. Having supervisors call back when requested to do so.I realize UHC treat customer care as a cost center whose cost is to be optimized... but I suggest they look at top-line cost of poor customer service as customers choose other healthcare providers."
65,"I purchased a Critical Illness policy over 2 years ago, before COVID. Last Oct I was hospitalized with COVID. I had Viral Pneumonia and blood clots in my lungs. My bill was almost 10k and my policy covered up to 40k. After about 5 months of submitting claims, they denied all payment! They said COVID was covered under critical care! I was furious! I've never been so disappointed in health care as I am today. Never ever get insurance through United Health Care!!"
66,"UHC is by far the worst customer experience I have ever had with ANY company. Period. And it was at the expense of my wife's mental health. Incorrect information given multiple times, un-ethical practices with changing coverage mid-year, hours on the phone, and appeals unanswered after weeks of being submitted. The only way I can understand that they are still in business is that they offer low prices because they absolutely do not care about customers and with health insurance laws we are helpless to make any changes outside of open enrollment. I am filing a formal ethics complaint with the my state."
67,"Almost every single day for the last year I have received junk mail for Medicare. I have called the company several times to be taken off their mailing list. I do not need, nor want, Medicare as I am a veteran and all my medical, vision, and dental needs are taken care of through the VA. Even one of UHCs that I spoke to was unaware of this and she said her husband and father are veterans. It's sad that I have to education one of your people. My last call was transferred to AARP. The call before that the representative was nothing but argumentative. When I asked for a supervisor she put me on hold for 13 minutes then disconnected the call. And you think I would even consider doing business with a company like this even if I needed/wanted Medicare? You are sorely mistaken."
68,"UHC Administration Staff are poorly trained, inconsistent, inefficient with answering questions about claims and processing claims. There are too many hands in the processing of claims making it very confusing for UHC and for the customer. I have 34 claims of out of network reimbursements since beginning of May 2021 and only receive reimbursement for 6 claims out of the 34 early on then as months went on nothing. UHC gave me lame excuses like their machine that takes the forms came out blurry on their end, or some went through processing and others didn't because certain reps got confused and denied some, then they need treatment records, then a weeks go by and need more info on the treatment records and it goes on. Almost like they do this to see if people will give up and they don't have to reimburse. I have spent 30+ hours including long calls and emails to UHC. I kept good notes and sent everything to the Commissioner of Labor and spoke to HR. Finally I think they are expediting my claims. I received one check for 3 claims. Now I just need about 20 more to be reimbursed. We pay a lot for our healthcare and NO one should ever have to go through this!"
69,"I had the unfortunate experience of having United Health Care for 8 months last year and it was the most negative experience I have ever had with an insurance company. My husband says watching me interact with United healthcare is like watching a real life Lifetime Movie. In short, United Healthcare looks to find any and every reason to deny coverage instead of helping someone who really needs it. Issue 1. I needed a minor procedure done. My doctor called United healthcare and gave them the codes for a procedure and the doctor was told it would be covered. So I made the appointment. United healthcare paid the claim and then reversed it citing the codes used as the issue. My doctor has appealed this twice since they used the same codes they initially called about, and United healthcare continues to deny it. I now have to pay for the procedure out of pocket. That cost is $800.Issue 2. I was in physical therapy and when my physical therapist's office called about the number of visits, they were never told of the policy that they had to submit a request for more visits at visit 21. The max you are allowed is 25 and apparently I went over by 1. United healthcare is denying my 26th visit citing their policy. My medical practice is charging me the full amount of the visit and claim they did their due diligence by calling. They told me I have to submit an appeal. I know from experience appeals get denied by United as I have had this happen on every occasion I have submitted something. So this is another $310 I will be having to pay a different doctor.Issue 3. I have hypermobility syndrome which means my bones just move out of place for good reason, bad reason, or no reason at all. There is 1 doctor in this area who treats this and they do not take insurance. I submitted a request for gap coverage since they are the only doctor who can provide the care I need. My gap coverage was denied, providing other doctors to see. I called their offices and they said they don’t treat hypermobility syndrome (the person who took my appeal information never put my primary diagnosis on the gap coverage). So I appealed it. And United still came back with a denial and more doctors' names in network I could visit. However, I called those doctors and they too said they cannot provide the treatments I need. I gave up with the appeals process since it was evident I would not make any progress here. So I submitted my bills as out of network claims. I have only submitted the first 3 of many, and I cannot even get these visits covered. They have been denied 3 times, citing coding does not comply with MARS. My doctor's office has said they have not had this issue with any other insurance company and have tried working with United Healthcare. My doctor's office said they thought they worked it out and resubmitted 2 of the claims on my behalf and they should be accepted this time. However, I just got another denial letter in the mail again citing coding. Bottom line, you will pay a lot of money and get nothing in return but headaches if you choose United Healthcare as your insurance. I had a different insurance company most of my life and I never had any of these types of issues with them. I have since switched back and am so thankful I did."
70,"I have been given false and incorrect information from United Healthcare Hearing time after time, including from a supervisor. After 7 phone calls, I am finally informed that yes, I was given false information more than once before, including from a supervisor. Sorry. That's it. They are incompetent."
71,"I'm pretty familiar with United Healthcare. I wanted to switch to mail-order. I had an old $30 balance & I was told that they would override the payment in order to get crucial medication until I was able get the payment from 7 yrs ago taken care of. The customer service representative are untrained in handling complicated calls. Instead of handling the call correctly they lied and said they override my payment for crucial meds. They're free anyways. This was a serious life threatening situation, and you'd rather lie and get me off the phone instead of handling the call. It's important to me that you care about your customers. Whatever you do represents United Healthcare. I'd fire the person that gave me false information, and me to think my situation was taken care of. I like the fact 7 yrs ago when I done the mail order pharmacy they were on time with the orders, but I start getting my packages taken.I feel this was an issue where they were too lazy to correctly respond to the call & giving me false info was one of the those ""Whatever I got to do to get her off the phone."". You don't play games like. I know you have your company policies, but never give false information. I needed those medications. As the days go by I'd pray I didn't have a stroke. I worried about how would I care for myself if that happened. I never ask for an override & the medications were free. So basically you lead me to believe you didn't care. You must care about your clients. That behavior was inappropriate & showed lack of empathy or sympathy. I will never forget this time of waiting. A complete nightmare. That wouldn't of cost you any $s. Just a little concern & empathy."
72,"United Healthcare Medicare plan told me I have Medical coverage in other states. As I got sick on vacation in another state I got a total bill, because united only covers home town/state. United also talked me in to schedule house call visit and to receive $70 in credit card. First visit person lied that she was there and she couldn’t been there, due to our dogs, plus I waited hours. United did not honor promise and had to rescheduled appt. Appt was beginning Nov 2021, now Feb 2022. After 2 complaints and 3 calls I still have not received card. United also told me I have free gym excess anywhere in USA which was so in 2021, but they no longer have silver sneakers and therefore only have gym in hometown and not where vacationing any longer. Dental benefits has also decreased and lose of coverage. Hearing aid coverage is no longer available. Customer service lied, gave me wrong info, and hung up on me at numerous calls to get info."
73,"Have had this insurance for years and now when I need the catheterization they are stalling. Case was marked URGENT and it’s been 14 days of stalling, miscommunication, and confusion on United’s part. Customer service tells me computers are not updating. Called again and said nothing was submitted. Doc said did submit. Third call took 56 minutes!! And was told now they want more info and a peer to peer call (as if my doc office has nothing to do but talk with them when they have 50 other patients to schedule.) Called again was told didn’t need ANY authorization due to cardiac issue. Still getting run around. When their staff forgot to put their phone on mute, I heard them say “This is why people are pissed at us. WE don’t even know what we are doing”. POOR Recommendation."
74,"I had a stroke in 2017, May. It took the right side out at 75% leaving me with left side foot drop and left arm negotiation problems. Recently I have been able to, with a walker, get up and down steps, mow my grass with a zero turn mower and get back to the woodworking shop. I had to explain to UHC via their support line why we thought Botox Shots would help, they finally said they would help pay for it. I was thankful for that help. Unfortunately it didn't help long term. It is a must to push yourself and trust yourself that it can be done. I don't know what I would do without UHC as they have helped me with other things also. Thanks for listening. Insurance under any circumstances is a must. Fortunately I am retired."
75,"Got a new account via the exchange. Can't sign in to new account because it defaults to old one. Been trying to get a hold of customer service for a week and a half. More than eight hours on the phone with various customer service agents from various departments, from old department to new one to IT to web services. No one can fix it. No one offers any kind of solution. At most they tell me to keep trying and maybe it'll be fixed next time. No solutions. They simply do not care."
76,"Medicare takes a big bite out of my income whether I choose UHC or not. The customer service even during Covid era, has been great, where other companies are extremely lacking. They haven't been able to lower my co-payments for specialist visits, but they do try to encourage me to maintain better health with $ quota of free OTC merchandise as well as bonuses for annual physicals and flu shots. I believe this company has been very customer focused when others have not."
77,High deductible plans have created the atmosphere that we feared the most. More cost sharing is not what the people wanted. We wanted more freedom to decide what health services we wanted and our physicians to decide what is needed. Some procedure are arbitrarily denied based on algorithms that were created based on conditions that don't necessarily apply for everyone. The human body is complex and should not be looked at as a one size fits all model
78,"Ask what's going on and you tell them, but they don't get it unless you are about to jump off a bridge or hurt yourself, if none apply it's like, ""How can we help you"" and but not if it was their family or love one. This alone may send you to the bridge to jump. All that's wants to be really answered is, ""Are you thinking about hurting yourself or someone."" In having started/had my own support group for women, there's a lack of understanding that someone's life in your hands could mean the difference between life and death for that person. I felt like I had no one to really listen to what I was saying [I'm mentally, emotionally and physically broken-exhausted]. WHO cares not many health care professionals. After that call it put energy back into my soul to try and help anyone man or woman to learn to encourage yourself because you never know who the other person on the other side of that line is or their intent. Are they getting you off the call for a break or lunch or the end of their day to go home. Are they there just to have a income or is it truly from their heart and something they enjoy doing. Have they ever experienced a mental breakdown, which not even required a ER visit. What was it like to truly lose someone that they loved with their whole earthly being. No most are beyond feeling for anyone that they don't know personally except their own, calmly thinking next. Yes they don't know us from Adam or Eve, they wouldn't know us if we walked right up to them. True therapist/counselors feel with their heart/mind and not their want to just take the next call although we wouldn't know it, but they are there looking you in your face watching your reactions. Not these persons, although there's some very good counselors whom you will never meet but they will always stay in your heart because of the empathy and kindness through their voice and voice only, because you never meet them. Everyone and anyone has to be mindful of the powers, we have within our selves without having to rely on persons whom may not have our best interests at heart and my call to the behavioral mental health department today brought it back to me full circle. I will never ever again give???? that power again, no matter my outcome, life or death. Only God has that will and power. My life good and/or bad means more to me than the paycheck???? makes off of having me as a client. I truly hope that the recording is pulled and listened to. Someone's family whom may have the fund's and ability to address these types of insults and injustice practices will not let it just go and their love one is no longer a part of this earthly world as a result of neglect on???? We have put an end to negativity when it comes to our health care and well-being. Good Luck as we all go about making better health care systems & plans. I wasn't really sure if I could use the name of the health care company so I removed it to try and be safe and make all aware of the powers we have within ourselves until we can get to trusted professionals with taught education to guide me along the way. Good emergency help is out there so keep a backup plan just in case you're ever in a mentally dysfunctional state of mind."
79,"BTW, I AM STILL SLEEP DEPRIVED. My prescription from my doctor was on 11/18/2021. It is now December 10th and UHC continues to block paying for it. THAT’S 28 DAYS. WTF? BTW, I AM STILL SLEEP DEPRIVED. Have been on the phone multiple times for hours trying to get United Health Care to approve payment on my prescribed medicine. Originally my doc wrote a script AND pre-authorization for ** to Walgreens pharmacy. Unfortunately, Walgreens errored and sent in a request to UHC for payment of a “generic” **. Good catch, or so I thought. After even more time spent on the phone with a UHC customer service rep last night, everything was supposed to be “Resolved”. He called Walgreens, explained the situation and said he verbally gave the go ahead. You can imagine my shock and anger when Walgreens put in the request for payment for ** to UHC this morning and it was DENIED. More phone calls. Then they just told me to START ALL OVER AGAIN. I’m to call my doctor and have her write the same prescription again and write the same pre-authorization. EVEN THOUGH THEY HAVE THE ORIGINALS! BTW, I AM STILL SLEEP DEPRIVED."
80,"Health insurance world is complex and United Health Care Company makes it more convoluted. I UHC took my monthly premium payment of $1,349 and refused to cover a much needed double hernia surgery. I am attaching the ""paragraph"" in my United Health insurance policy that they are hanging their theory on for not covering the cost of my hernia surgery. They claim that unless it is an emergency hernia surgery is not covered. My condition met the criteria of emergency based on their definition. They define ""Emergency"" as defined as: 1.) recent onset and severity including but not limited to severe pain (my pain began and has increased over the last few months causing me to see Dr. ** for his professional medical advice), diagnosed and call for correction coming from a prudent layperson, (Dr ** would qualify...lol, and his recommendation is to take care of the condition sooner than later), failure of me addressing the issues can result in placing my ""health in serious jeopardy"" (Dr. ** told me that if I did not address this problem that it can become strangulated. Doctor **, and every article I read online, states that strangulation is serious and even life threatening.) Based on the above evidence and United's own definition for emergency I believe that this surgery should be covered but I was wrong. They stole over $13,000 in ten months from me and would not cover the needed hernia surgery. Should be criminal!"
81,I went to my in network dentist in october 2021 for dental work. United Health Care contract with my dentist expired in June 2021. Like I am suppose to know that!! Who terminates a contract in mid year. I spent over 2 hours on the phone trying go get them to pay. I had to pay out of my own pocket!!! I am running away from this company. Going to either anthem or devoted. They have better coverage anyway.
82,"United Health Care is surely the worst insurance company that I have ever dealt with. Their internal system is messy, they keep declining claims for random reasons that they never notify customers. When calling up, the customer service lady was extremely rude, spending time arguing with the customers, instead of listening and trying to help. Emails sent to them always got ignored and you have to call up to go through the worst customer service again. Their service surely ruins your day. Even when the claims were approved, their cover is extremely minimal. I'm honestly impressed how such a terrible company still can be in the business!"
83,"Over the course of the last couple of months, I have spent over 20 hours on the phone with UHC representatives in order to sign up for my extended cobra benefits. I have ALWAYS been the beneficiary of UHC insurance for my husband and me. Despite that, UHC had my husband registered as the beneficiary, I called to have this changed to my SS # and make me the beneficiary. I found out when I went to log in that they changed the data to my son's SS# and made him a beneficiary! He is not even on the plan!!!!As instructed I sent UHC operations an email to make the corrections again, with bolded, all caps type to fix this, and now I find the application switched back to my husband's SS#. I have never been able to speak to a manager, and coincidently, I have never been able to take the post-call survey in spite of waiting online after each phone call. I am currently on the phone with UHC this AM, for 55 minutes to try and get this resolved AGAIN. Extremely incompetent and unnerving that this is the company that is managing my healthcare benefits. BEWARE."
84,"After copious research, and having received multiple mailings from UHC since last March when they discovered I was on both Medicare and Level 1 MassHealth (Medicaid), urging me to enroll in their Senior Care Options (HMO D-SNP) dual eligible plan, I called them on 10/18 hoping to do just that. That day their CSR Rochelle told me a certified sales agent was going to call me. When that didn't happen, I called again on 10/26 at which time their CSR ""Malia"" made the same promise. Lacking any call by 11/5, I filled out a enrollment application at the UHC website and mailed it in.With no call to date, I contacted UHC on 11/16 and this time was introduced on the phone to a Josh who identified himself as a certified sales agent, but who claimed--despite the information at the UHC website and the multiple UHC mailings to me--that UHC offered no SNP plans in all of MA. Knowing he didn't know his job in that respect, but unable to get anywhere with him, I called again today and talked to a Demi who identified himself as a certified sales agent and who was most helpful in verifying most of my qualifications for the plan, but was nevertheless forced to transfer me to another CSR who identified herself as Chaniqua (sp?) who could only offer, she said, to make another appt. for a certified sales agent to call me.Doubtful from a month of experience that such a call back will actually occur before the 12/7/21 enrollment deadline, I called back a second time and talked to a CSR named Bonnie who could only promise the same. Still the UHC snail mail ads urging me to enroll continue to barrage my mailbox. Question: is UHC genuinely interested in my business? If not, why can't they at least call me back to tell me so? In the absence of a timely response from UHC, I am left with only one option in the next 20 days: go with one of the less preferred SNP plans of their local competitors such as Tufts or Commonwealth Care Alliance. Are you going to force me to do that, United Healthcare?"
85,Transportation by Modivcare is absolutely the worst people to schedule trips. They route our calls across seas and the people who book our Transportation. They never get it right and hang up the phone or transfer you to someone who can't help. It takes a 30 minutes sometimes 60 minutes to book a simple trip. I can't handle the unprofessional callers...
86,I work for a surgeon and getting surgery approvals for UHC is a nightmare. I recently had an urgent authorization for a patient needing immediate surgery. When I started the authorization I was told that it was started as expedited and that I would have an answer in 48 to 72 hours. That was a lie! It was never started as expedited. When I called to speak with a supervisor to find out why I was told that it was expedited when it wasn't the supervisor advised that it was and it was not.  I think she knew I was mad and just wanted me off the phone.When I called the next day because the surgery still had not been approved I was told that it had not been expedited and they would do that now and it would take 72 hrs before they received approval. I advised that was not okay because this was supposed to be expedited on the 27th of October and here it was 11/3 and it still has not been done. The rep advised that she would be able to get a supervisor which I at the time had requested. Keri the supervisor got on the phone and told me that she was not sure why the rep told me that this case was still pending because she showed it was approved. This was at 11AM. By 1PM I received a call from Scott the case manager working the case who advised that he was still reviewing the case and that it was not approved yet. He advised that he had just received the case this morning and it still was not expedited.I have been trying for five days now to get a rush put on this case and it has never been done. The patient's surgery is tomorrow and I have gotten nothing but the run around since day one. This is always the issue with any patient's that I am trying to get authorized and it is one constant lie after another from them. I would never recommend this company to anybody because they do not care about the well being of their patients. Worst Healthcare Company EVER!!! They do not care about the patients healthcare at all!
87,"We obtained pre-authorizations before using an in-network specialist. Nevertheless, for a month, they have denied our claims despite our having repeatedly sent them the payment receipts as well as scans and images of their own preauthorization letters. I’ve never before had such a disorganized and inappropriate customer service organization to deal with."
88,"I am a physical therapist in New York, and I have been in practice since 2000. I presently run several orthopedic practices in NYC, and we are out of network providers with United Healthcare. I am absolutely horrified at how unethical this insurance company has become in the past couple of years. However, 2021 has been the most abhorrent year, which is absolutely disgusting given the fact that we are in a pandemic and we healthcare workers are just trying to get by while taking care of the public. I am currently dealing with a number of claims that are being denied for various unbelievably unethical reasons. We are asked to submit notes constantly, which we upload as instructed on the United Healthcare portal, and then we are told time and time again that the notes ""were not received"" or ""were lost in the system."" We have spent countless hours on the phone with useless representatives, many of whom do not speak enough English to be understood, in order to try to sort out claims that should never have been denied in the first place. It is very clear to many of us healthcare practitioners that United healthcare workers are being instructed to ""make mistakes"" or deny claims in order to save the company money. Most recently, my claims are being audited and denied even after I have gotten prior authorization. When my biller calls to discuss this and to have the claims re-processed with the authorization number, the United representatives flat out refuse. Today, The UHC representative told my biller it was ""not her problem"" that the claims were processed incorrectly even though there was an authorization. WHAT!?!?Then this same representative literally hung up on my biller while she was trying to explain the situation. Of course I will be filing a complaint with the state insurance board; however, I hope this review serves as a warning to all individuals and companies who may be looking to use United Healthcare as their health insurance provider. To that I say RUN!! Run as far away as you can from this incredibly unethical company. They will charge you an exorbitant premium and deliver nothing on their end except empty promises. I truly do not know how the executives sleep at night knowing how deceptive their practices are, especially during a time when everybody should be working together in healthcare. We healthcare workers put ourselves on the front lines to keep America safe and this truly disgusting company is only adding to the stress we already face on a daily basis. SHAME SHAME SHAME ON THEM!"
89,My prescription went from $15 to $110.89 in one year. My zero deductible went up to $445. I am paying more out of pocket this year than I have in all the years I had this coverage put together. They change the tier and we pay the price. I have called. All I do is hold on. Representatives have no knowledge at all what or how to assist. If it was a choice I would have rated this plan a ZERO!
90,"I have worked for a Critical Illness Recovery Hospital (CIRH or LTAC) for 3 years. Our patients are referred from lower a level of care in hopes of receiving aggressive treatment to recover from an illness and regain their strength enough for rehab or return home. I would estimate nearly every UHC referral is denied by the insurance company. Even after P2Ps and Appeals (which take weeks), patients will die at the STAC. In my opinion, they consistently roll the dice with people's health to chance the patient might get better at a lower level, less expensive level of care, but I only time and time again see patients die while waiting for the appeal. All other insurances have reasonable responses within reasonable time to get the patient the treatment they need, while United Healthcare gambles with people’s lives to save money. Someone needs to be held accountable for these referral denials!"
91,"As a Disabled person, who has Mental Health Illnesses and Chronic Illnesses, my Healthcare is very important to me. I needed to find a Care Manager to assist me with finding Counseling Services plus Dental Services and A new Primary Doctor. UHC said they did all of that. I signed up with them and was immediately put into a Call BLOCK on my private cellphone where ALL my calls go to 1 unhelpful TINA S. who did nothing for me. NOTHING!I began trying to get the care I needed and could not find ANY PROVIDERS who would take UHC. Zero. I feel UHC has denied me the Crisis Counseling (5 Sessions) I have begged them for. I have begged them for Care Management. Instead they LIE AND LIE AND LIE CONSTANTLY. UHC does not provide ANY Case Management not to Me. Not ever. Zero counseling help. It appears they want to argue and control ALL of my private calls to make appointments. Everyone I talk to at UHC is in Atlanta, Georgia and they ALL LIE TO ME ABOUT EVERYTHING :(.I have filed complaints with Medicare and no one ever emails or calls, or writes me back. I believe UHC TINA S. who has inserted her Name on MY PHONE in Auto-fill as being at my Home Address and my Cell number is STEALING ALL OF MY CALLS AND EMAILS. I TRULY DO! How did this TINA S. get herself onto my private cellphone Auto-fill, when I try to enter MY Name it comes up as TINA S. This woman is a LIAR! As someone who lives independently and pays my own bills, and who has endured severe abuse; my independence matters. These controlling tactics by UHC are disturbing!The SEVERE PAIN BY THEM LYING TO ME IS VERY VERY BAD! THEY CAUSE ME to have MENTAL HEALTH CRISIS' just with their Messed up games and manipulation of my LIFE. Calling them at any time on any day leads to constant crisis and pain and suffering because they ARGUE, Waste my time - they do not do their job. I feel like I am calling 1-800-IDIOTS-R-US when I call them for anything. There appears to be Zero Government oversight or regulation regarding UHC Medicare's egregious misuse of Government funding.I have lost all hope in this Insurance company to ever do the right thing. It appears a bunch of Crooks and Clowns are running this Company that gets paid Millions of Government dollars in order to Care for its Members. I am a Member and they have caused me SEVERE PAIN AND SUFFERING ALL YEAR LONG. They have not helped me get the Care that I have begged and begged them for; very often crying, in severe mental distress. They want me to have a complete mental breakdown. To cause suffering of me is a terrible thing to do to me. I do not deserve their cruelty! No one does!"
92,"I called to inquire about my payment. After being transferred 3 times and 45 minutes later I was told I was talking to the wrong department. I was then transferred to the prescription department and disconnected. I called back the next day and told the agent what I was calling about, transferred to billing who didn't speak clear English, put on hold 3 times and finally after 1,5 hrs have up and hung up."
93,I called UHC last week to ask for counselling services. I was asked a series of questions then I was placed on hold without any notice just to be transferred from place to place for about 5 hours! Run!
94,"I contacted UHC for pre-approval for an appointment with Psychologist. They told me that all the ""out of network"" Psychologist services are fully covered in my plan. But after submitting the bills I was told that any consultation greater than 59 mins is not covered. Most of the consultation are for 1 hr so the limit of 59 mins was kept intentionally to reject the claims. That was also not explained during preapproval. Another issue mentioned by them to reject the claim was that the tax_id number should be of the doctor and not the facility. This was also not explained in advance."
95,"DO NOT USE THIS INSURANCE CARRIER if you plan on doing anything more than regular Dr. visits. Anything past routine Dr. visits will not be honored/covered, despite what they say. I have a Dr saying I need a surgery for my health and the chat rep said it was covered but when it came to the Dr. to verify coverage they have declined it twice. What am I paying for?!?!"
96,"They told me my plan would cover extraction, found out from dentist it doesn't. So I called UHC again, got additional coverage, they said would cover extraction but not so again. So I went round and round with them and now they say the manager call me in 2 days. They didn't want to switch me because I changed once already but it's because of you people at uhc who do not know your own plans well at all. Bad experience."
97,"The price is way too high for the coverage and the out of pocket expenses. Especially since people on the market place get it for little to no cost. By the time it’s all said and done, all of my income goes to medical bills. We make too much to qualify and not enough to survive. It’s not right, especially when you get closer to retirement."
98,United Healthcare’s Insurance plan has helped me cover all of my necessary health requirements plus offers the added benefits of annual health maintenance assessments which I just learned covers my monthly gym membership as well.
99,"So, I am 74 years old, retired with a pension from the Teachers Retirement System of Texas (TRS). I retired in 2002 and at that time TRS provided deal, vision and health insurance in different tiers of care. The higher the level you chose the more the premium cost. Three years into retirement and the dental and vision had gone away and the premiums for health care were more than I could afford. As soon as I was eligible for Medicare, I opted out of TRS and went with United Health Care the AARP program. Wow, what a difference. Health care, prescription drugs, dental and vision coverage all at a cost I could afford. All was well until I hit 73 years of age, now here I sit after three strokes and a heart attack. Still covered by the same policy.Yes I have had to pay my share but I am able to do that thanks to my retirement and supplemental coverage by the Veterans Administration, Army Veteran 68-69, and the premiums have not gone up. If I have a question, or I think a doctor is gouging me, I call United Health Care and they take care of the problem. They are really more than my insurance provider, they are my advocate for my health care needs. I don't even think about my health insurance anymore. I know it is covered."
100,"Great insurance overall, however I received a statement through mail, from a doctor in Nashville TN. Not detailing what the visit was for and dated 1-10-21. More detailed billing information on statements would be helpful."
